seed,strict_total,strict_blocked,strict_blocking_rate,strict_r_no_valid_rate,ksp_total,ksp_blocked,ksp_blocking_rate,ksp_r_no_valid_rate,deep_total,deep_blocked,deep_blocking_rate,deep_r_no_valid_rate,strict_minus_ksp_pp,strict_minus_deep_pp,ksp_minus_deep_pp
5001,6000,323,0.05383333333333333,0.05383333333333333,6000,323,0.05383333333333333,0.05383333333333333,6000,712,0.11866666666666667,0.11866666666666667,0.0,-6.483333333333334,-6.483333333333334
5002,6000,340,0.056666666666666664,0.056666666666666664,6000,340,0.056666666666666664,0.056666666666666664,6000,723,0.1205,0.1205,0.0,-6.383333333333333,-6.383333333333333
5003,6000,316,0.05266666666666667,0.05266666666666667,6000,316,0.05266666666666667,0.05266666666666667,6000,740,0.12333333333333334,0.12333333333333334,0.0,-7.066666666666667,-7.066666666666667
5004,6000,350,0.058333333333333334,0.058333333333333334,6000,350,0.058333333333333334,0.058333333333333334,6000,728,0.12133333333333333,0.12133333333333333,0.0,-6.3,-6.3
5005,6000,349,0.058166666666666665,0.058166666666666665,6000,349,0.058166666666666665,0.058166666666666665,6000,722,0.12033333333333333,0.12033333333333333,0.0,-6.216666666666667,-6.216666666666667
