seed,strict_total,strict_blocked,strict_blocking_rate,strict_overload_rate,strict_nsb_rate,strict_r_no_valid_rate,strict_avg_delay_ms,strict_avg_fs,strict_avg_path_km,strict_avg_decision_ms,ksp_total,ksp_blocked,ksp_blocking_rate,ksp_overload_rate,ksp_nsb_rate,ksp_r_no_valid_rate,ksp_avg_delay_ms,ksp_avg_fs,ksp_avg_path_km,ksp_avg_decision_ms,strict_minus_ksp_blocking_pp
6101,6000,345,0.0575,0.0,0.0,0.0575,19.18181949344241,2.678868258178603,1279.6033598585323,26.964842077690264,6000,344,0.05733333333333333,0.0,0.0,0.05733333333333333,16.27120439000974,2.2503536067892504,1069.7390381895332,9.785541008636452,0.016666666666666913
6102,6000,308,0.051333333333333335,0.0,0.0,0.051333333333333335,19.23979514560472,2.664792691496838,1287.2884750527055,27.02259677217565,6000,309,0.0515,0.0,0.0,0.0515,16.334703234847982,2.240730978738359,1079.4211913547706,9.94507972332091,-0.01666666666666622
6103,6000,347,0.057833333333333334,0.0,0.0,0.057833333333333334,19.12723350308262,2.7174951353263754,1259.8512294356979,27.32775006188361,6000,345,0.0575,0.0,0.0,0.0575,16.348703834135595,2.264367816091954,1075.0107869142353,7.579347505118979,0.03333333333333313
6104,6000,322,0.05366666666666667,0.0,0.0,0.05366666666666667,19.159307529487805,2.7275449101796405,1271.1100739697076,21.94837103329337,6000,320,0.05333333333333334,0.0,0.0,0.05333333333333334,16.33638798420772,2.291725352112676,1076.0568661971831,7.499213070166054,0.03333333333333313
6105,6000,362,0.060333333333333336,0.0,0.0,0.060333333333333336,19.254489992975476,2.6747073430294432,1292.8304363249379,21.635254589012522,6000,360,0.06,0.0,0.0,0.06,16.29215105930521,2.2421985815602836,1074.2817375886525,7.34008693544456,0.033333333333333826
