topology,seed,arm,blocking,blocked,selector_mean_ms,ksp_backend
xlron_usnet_gcnrmsa,23003,full_direct,0.0758,758,0.38172612558330665,
xlron_usnet_gcnrmsa,23003,opp_only,0.0733,733,0.12119320621290668,
xlron_usnet_gcnrmsa,23004,ksp_ff_k5,0.1115,1115,0.01346289312509312,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23004,ksp_ff_k50,0.0835,835,0.020642488602210175,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23004,ksp_bf_k50,0.0821,821,0.03578253935980187,
xlron_usnet_gcnrmsa,23004,full_direct,0.0745,745,0.34117865072436293,
xlron_usnet_gcnrmsa,23004,opp_only,0.0723,723,0.11679959640076214,
xlron_usnet_gcnrmsa,23005,ksp_ff_k5,0.1141,1141,0.011563615132631226,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23005,ksp_ff_k50,0.0919,919,0.01931740127673203,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23005,ksp_bf_k50,0.0847,847,0.03813359660985456,
xlron_usnet_gcnrmsa,23005,full_direct,0.0806,806,0.3295545340833169,
xlron_usnet_gcnrmsa,23005,opp_only,0.0792,792,0.1191659879087555,
xlron_usnet_gcnrmsa,23006,ksp_ff_k5,0.1108,1108,0.011961308646608482,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23006,ksp_ff_k50,0.0767,767,0.017996285946785723,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23006,ksp_bf_k50,0.0792,792,0.03438436722552234,
xlron_usnet_gcnrmsa,23006,full_direct,0.0674,674,0.3409466830039905,
xlron_usnet_gcnrmsa,23006,opp_only,0.0701,701,0.1188372556564652,
xlron_usnet_gcnrmsa,23007,ksp_ff_k5,0.1163,1163,0.011510094701820477,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23007,ksp_ff_k50,0.0924,924,0.018912247466770084,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23007,ksp_bf_k50,0.0909,909,0.037995375036685305,
xlron_usnet_gcnrmsa,23007,full_direct,0.0836,836,0.34445263785098423,
xlron_usnet_gcnrmsa,23007,opp_only,0.0873,873,0.1267698522106829,
xlron_usnet_gcnrmsa,23008,ksp_ff_k5,0.1106,1106,0.013813272563063285,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23008,ksp_ff_k50,0.0842,842,0.01872340040493079,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23008,ksp_bf_k50,0.0789,789,0.03669128203976222,
xlron_usnet_gcnrmsa,23008,full_direct,0.0758,758,0.35016582649074157,
xlron_usnet_gcnrmsa,23008,opp_only,0.0763,763,0.12172785890288651,
xlron_usnet_gcnrmsa,23009,ksp_ff_k5,0.1043,1043,0.01282597684555433,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23009,ksp_ff_k50,0.0781,781,0.020251088373532348,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23009,ksp_bf_k50,0.0733,733,0.033507723520001906,
xlron_usnet_gcnrmsa,23009,full_direct,0.0693,693,0.3710168801375072,
xlron_usnet_gcnrmsa,23009,opp_only,0.069,690,0.12979648727923632,
xlron_usnet_gcnrmsa,23010,ksp_ff_k5,0.1185,1185,0.011911609866233035,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23010,ksp_ff_k50,0.0945,945,0.02210532289675691,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23010,ksp_bf_k50,0.089,890,0.04205466862979599,
xlron_usnet_gcnrmsa,23010,full_direct,0.0843,843,0.35257798384621064,
xlron_usnet_gcnrmsa,23010,opp_only,0.085,850,0.12658291224347934,
xlron_jpn48,23001,ksp_ff_k5,0.1231,1231,0.014891289216889576,python_bitparallel_early_exit
xlron_jpn48,23001,ksp_ff_k50,0.0897,897,0.025353582702915777,python_bitparallel_early_exit
xlron_jpn48,23001,ksp_bf_k50,0.0889,889,0.05592646200040524,
xlron_jpn48,23001,full_direct,0.0775,775,0.46056779843374074,
xlron_jpn48,23001,opp_only,0.077,770,0.13477633817290718,
xlron_jpn48,23002,ksp_ff_k5,0.1126,1126,0.015930892709134652,python_bitparallel_early_exit
xlron_jpn48,23002,ksp_ff_k50,0.0792,792,0.023060529312880877,python_bitparallel_early_exit
xlron_jpn48,23002,ksp_bf_k50,0.0826,826,0.052001594470559874,
xlron_jpn48,23002,full_direct,0.0667,667,0.47176692107777024,
xlron_jpn48,23002,opp_only,0.0704,704,0.13835568687963215,
xlron_jpn48,23003,ksp_ff_k5,0.1147,1147,0.015686829161660917,python_bitparallel_early_exit
xlron_jpn48,23003,ksp_ff_k50,0.0819,819,0.023861309301785448,python_bitparallel_early_exit
xlron_jpn48,23003,ksp_bf_k50,0.0795,795,0.06945580543569205,
xlron_jpn48,23003,full_direct,0.0677,677,0.6259796787370843,
xlron_jpn48,23003,opp_only,0.0688,688,0.15655194929885594,
xlron_jpn48,23004,ksp_ff_k5,0.1158,1158,0.018943655569191007,python_bitparallel_early_exit
xlron_jpn48,23004,ksp_ff_k50,0.0868,868,0.02617876403118399,python_bitparallel_early_exit
xlron_jpn48,23004,ksp_bf_k50,0.0866,866,0.05831218781796369,
xlron_jpn48,23004,full_direct,0.0751,751,0.5189430343982001,
xlron_jpn48,23004,opp_only,0.0749,749,0.19665368760681964,
xlron_jpn48,23005,ksp_ff_k5,0.1131,1131,0.017275773909535597,python_bitparallel_early_exit
xlron_jpn48,23005,ksp_ff_k50,0.0817,817,0.031246428229761397,python_bitparallel_early_exit
xlron_jpn48,23005,ksp_bf_k50,0.0821,821,0.06259112532081253,
xlron_jpn48,23005,full_direct,0.0695,695,0.5096493984509091,
xlron_jpn48,23005,opp_only,0.07,700,0.15125241945497692,
xlron_jpn48,23006,ksp_ff_k5,0.1077,1077,0.017470920797098766,python_bitparallel_early_exit
xlron_jpn48,23006,ksp_ff_k50,0.0769,769,0.026445670519024134,python_bitparallel_early_exit
xlron_jpn48,23006,ksp_bf_k50,0.0758,758,0.053649712576192214,
xlron_jpn48,23006,full_direct,0.0668,668,0.5185503074370155,
xlron_jpn48,23006,opp_only,0.0652,652,0.16527482849249447,
xlron_jpn48,23007,ksp_ff_k5,0.1163,1163,0.016229720087721944,python_bitparallel_early_exit
xlron_jpn48,23007,ksp_ff_k50,0.0857,857,0.02373548579105938,python_bitparallel_early_exit
xlron_jpn48,23007,ksp_bf_k50,0.0835,835,0.051915543704209005,
xlron_jpn48,23007,full_direct,0.0739,739,0.4838724243772132,
xlron_jpn48,23007,opp_only,0.0768,768,0.13452825115316294,
xlron_jpn48,23008,ksp_ff_k5,0.1171,1171,0.016594231276857583,python_bitparallel_early_exit
xlron_jpn48,23008,ksp_ff_k50,0.0863,863,0.023593203789046543,python_bitparallel_early_exit
xlron_jpn48,23008,ksp_bf_k50,0.0868,868,0.060842484616759146,
xlron_jpn48,23008,full_direct,0.0704,704,0.5287582773863423,
xlron_jpn48,23008,opp_only,0.0774,774,0.16531775578517804,
xlron_jpn48,23009,ksp_ff_k5,0.1101,1101,0.02048598279626193,python_bitparallel_early_exit
xlron_jpn48,23009,ksp_ff_k50,0.0808,808,0.02339582491285083,python_bitparallel_early_exit
xlron_jpn48,23009,ksp_bf_k50,0.0793,793,0.048418729872950775,
xlron_jpn48,23009,full_direct,0.0653,653,0.47764006385114044,
xlron_jpn48,23009,opp_only,0.0671,671,0.13934506920420311,
xlron_jpn48,23010,ksp_ff_k5,0.1041,1041,0.01801287727853791,python_bitparallel_early_exit
xlron_jpn48,23010,ksp_ff_k50,0.0726,726,0.022944972882131962,python_bitparallel_early_exit
xlron_jpn48,23010,ksp_bf_k50,0.0716,716,0.05306023066143759,
xlron_jpn48,23010,full_direct,0.0621,621,0.5422424095132473,
xlron_jpn48,23010,opp_only,0.0634,634,0.1601903198435056,
xlron_nsfnet_deeprmsa,23001,neural_opportunity,0.0614,614,0.050604502600000004,
xlron_nsfnet_deeprmsa,23002,neural_opportunity,0.0723,723,0.043863124499999996,
xlron_nsfnet_deeprmsa,23003,neural_opportunity,0.0655,655,0.042999145499999995,
xlron_nsfnet_deeprmsa,23004,neural_opportunity,0.0649,649,0.045508995999999996,
xlron_nsfnet_deeprmsa,23005,neural_opportunity,0.069,690,0.042806350099999994,
xlron_nsfnet_deeprmsa,23006,neural_opportunity,0.0614,614,0.045578752199999996,
xlron_nsfnet_deeprmsa,23007,neural_opportunity,0.0585,585,0.04269456320000001,
xlron_nsfnet_deeprmsa,23008,neural_opportunity,0.0498,498,0.0459111751,
xlron_nsfnet_deeprmsa,23009,neural_opportunity,0.0599,599,0.0435584986,
xlron_nsfnet_deeprmsa,23010,neural_opportunity,0.07,700,0.0444141279,
xlron_usnet_gcnrmsa,23001,neural_opportunity,0.08,800,0.044561938200000005,
xlron_usnet_gcnrmsa,23002,neural_opportunity,0.0802,802,0.0444024664,
xlron_usnet_gcnrmsa,23003,neural_opportunity,0.0711,711,0.0447941347,
xlron_usnet_gcnrmsa,23004,neural_opportunity,0.0742,742,0.0431181877,
xlron_usnet_gcnrmsa,23005,neural_opportunity,0.0822,822,0.0444475402,
xlron_usnet_gcnrmsa,23006,neural_opportunity,0.071,710,0.0467011248,
xlron_usnet_gcnrmsa,23007,neural_opportunity,0.0796,796,0.0433104707,
xlron_usnet_gcnrmsa,23008,neural_opportunity,0.079,790,0.0455260612,
xlron_usnet_gcnrmsa,23009,neural_opportunity,0.0688,688,0.0452022109,
xlron_usnet_gcnrmsa,23010,neural_opportunity,0.0846,846,0.0438340213,
xlron_jpn48,23001,neural_opportunity,0.0813,813,0.0470174627,
xlron_jpn48,23002,neural_opportunity,0.0736,736,0.0478135775,
xlron_jpn48,23003,neural_opportunity,0.0702,702,0.04661283549999999,
xlron_jpn48,23004,neural_opportunity,0.0718,718,0.0469175872,
xlron_jpn48,23005,neural_opportunity,0.0697,697,0.050732187299999995,
xlron_jpn48,23006,neural_opportunity,0.0671,671,0.0471533288,
xlron_jpn48,23007,neural_opportunity,0.0785,785,0.0466343479,
xlron_jpn48,23008,neural_opportunity,0.076,760,0.05035252459999999,
xlron_jpn48,23009,neural_opportunity,0.0662,662,0.047090321600000005,
xlron_jpn48,23010,neural_opportunity,0.0607,607,0.0460235998,
