topology,method,train_seed,seed,warmup,evaluated,admitted,blocked,blocking_rate,mean_utilization,avg_fs,avg_hop_count
cost239,deeprmsa_local,42,101,3000,10000,8770,1230,0.123,0.49675146153846156,3.9851767388825543,1.6737742303306729
cost239,deeprmsa_local,42,102,3000,10000,8766,1234,0.1234,0.4916399423076923,3.9577914670317136,1.6825233858088067
cost239,deeprmsa_local,42,103,3000,10000,8761,1239,0.1239,0.4873145192307692,3.953201689304874,1.6615683141193927
cost239,deeprmsa_local,42,104,3000,10000,8766,1234,0.1234,0.4915701923076924,3.9982888432580426,1.6840063883185032
cost239,deeprmsa_local,42,105,3000,10000,8927,1073,0.1073,0.48601813461538457,3.9904783241850565,1.6704379970874874
cost239,deeprmsa_local,42,106,3000,10000,8816,1184,0.1184,0.49409792307692313,3.9804900181488203,1.669010889292196
cost239,deeprmsa_local,42,107,3000,10000,8821,1179,0.1179,0.4912389807692308,3.99931980501077,1.6732796735064053
cost239,deeprmsa_local,42,108,3000,10000,8771,1229,0.1229,0.4870434423076923,3.984722380572341,1.6809941853836508
cost239,deeprmsa_local,42,109,3000,10000,8756,1244,0.1244,0.49114955769230767,3.978643216080402,1.6762220191868433
cost239,deeprmsa_local,42,110,3000,10000,8894,1106,0.1106,0.4860308269230769,3.9709916797841243,1.6702271194063414
cost239,deeprmsa_local,43,101,3000,10000,9014,986,0.0986,0.4918530769230769,4.014643887286443,1.6058353672065675
cost239,deeprmsa_local,43,102,3000,10000,9033,967,0.0967,0.48418392307692304,3.984169157533488,1.6016827189195173
cost239,deeprmsa_local,43,103,3000,10000,9058,942,0.0942,0.48449113461538457,3.9622433208213734,1.5961580922941048
cost239,deeprmsa_local,43,104,3000,10000,9023,977,0.0977,0.487037923076923,4.008755402859359,1.6065610107503048
cost239,deeprmsa_local,43,105,3000,10000,9177,823,0.0823,0.4825886730769231,4.02179361447096,1.6107660455486543
cost239,deeprmsa_local,43,106,3000,10000,9129,871,0.0871,0.4906911153846154,4.010954102311316,1.604337824515281
cost239,deeprmsa_local,43,107,3000,10000,9088,912,0.0912,0.48696211538461537,4.019146126760563,1.595400528169014
cost239,deeprmsa_local,43,108,3000,10000,9084,916,0.0916,0.4854216730769231,4.010457948040511,1.6067811536767944
cost239,deeprmsa_local,43,109,3000,10000,9002,998,0.0998,0.4871913076923077,3.9888913574761165,1.604865585425461
cost239,deeprmsa_local,43,110,3000,10000,9110,890,0.089,0.4815772115384616,3.9908891328210756,1.5983534577387486
cost239,deeprmsa_local,44,101,3000,10000,9243,757,0.0757,0.5382246730769231,4.099967543005517,1.6667748566482743
cost239,deeprmsa_local,44,102,3000,10000,9256,744,0.0744,0.531333673076923,4.073249783923941,1.6681071737251512
cost239,deeprmsa_local,44,103,3000,10000,9273,727,0.0727,0.530695326923077,4.07031165750027,1.6558826701175455
cost239,deeprmsa_local,44,104,3000,10000,9205,795,0.0795,0.5320904423076923,4.096577946768061,1.6732210755024444
cost239,deeprmsa_local,44,105,3000,10000,9344,656,0.0656,0.5258560961538462,4.106806506849315,1.6650256849315068
cost239,deeprmsa_local,44,106,3000,10000,9254,746,0.0746,0.5288244230769231,4.081694402420575,1.6607953317484332
cost239,deeprmsa_local,44,107,3000,10000,9252,748,0.0748,0.5283710961538461,4.115218331171638,1.66147859922179
cost239,deeprmsa_local,44,108,3000,10000,9244,756,0.0756,0.5237391538461538,4.083405452185201,1.668325400259628
cost239,deeprmsa_local,44,109,3000,10000,9182,818,0.0818,0.5326004423076923,4.07329557830538,1.6632541929862774
cost239,deeprmsa_local,44,110,3000,10000,9286,714,0.0714,0.5231207499999999,4.080012922679302,1.6621796252423002
cost239,ksp_ff_k50_hops,,101,3000,10000,9762,238,0.0238,0.5847433076923076,4.183876254865806,1.631940176193403
cost239,ksp_ff_k50_hops,,102,3000,10000,9816,184,0.0184,0.5718479999999999,4.160859820700897,1.6253056234718826
cost239,ksp_ff_k50_hops,,103,3000,10000,9819,181,0.0181,0.567273173076923,4.151033710153784,1.612282309807516
cost239,ksp_ff_k50_hops,,104,3000,10000,9805,195,0.0195,0.580029,4.198368179500255,1.6374298827129017
cost239,ksp_ff_k50_hops,,105,3000,10000,9894,106,0.0106,0.5551270192307692,4.196583788154437,1.60834849403679
cost239,ksp_ff_k50_hops,,106,3000,10000,9797,203,0.0203,0.575012,4.174951515770133,1.6159028273961418
cost239,ksp_ff_k50_hops,,107,3000,10000,9801,199,0.0199,0.5757654807692307,4.197326803387409,1.620752984389348
cost239,ksp_ff_k50_hops,,108,3000,10000,9831,169,0.0169,0.5740499038461538,4.193876513070898,1.6261824839792494
cost239,ksp_ff_k50_hops,,109,3000,10000,9766,234,0.0234,0.5790198461538462,4.181753020684006,1.6289166496006553
