topology,topology_key,load_erlang,seed,method,warmup,evaluated,accepted,blocked,blocking_rate,avg_decision_ms,avg_legal_actions,avg_path_idx,avg_mod_idx,avg_block_idx,avg_start_slot,avg_required_fs,avg_path_hops,avg_path_km,avg_block_waste,request_trace_hash,elapsed_seconds
cost239,cost239_deeprmsa,600.0,5001,ff_ksp_k50_hops,500,1000,927,73,0.073,0.10910680005326867,8.661,2.001078748651564,1.0334412081984898,0.0,33.016181229773466,4.26537216828479,1.8737864077669903,2089.482200647249,0.22899403413152414,e118ea2c55c8e6985dbf4054de6523371b0f68154232934ef3e57b1aa1f9341e,4.766609799989965
cost239,cost239_deeprmsa,600.0,5001,ksp_ff_k50_hops,500,1000,978,22,0.022,0.021013400808442384,20.728,0.5245398773006135,1.1533742331288344,0.0,33.48261758691206,4.215746421267894,1.6584867075664622,1832.4130879345603,0.32602854598350184,e118ea2c55c8e6985dbf4054de6523371b0f68154232934ef3e57b1aa1f9341e,4.750506300013512
cost239,cost239_deeprmsa,600.0,5001,strict_v13,500,1000,789,211,0.211,3.4965613991953433,6.31,4.437262357414449,0.5893536121673004,0.3041825095057034,46.17997465145754,4.8757921419518375,2.1723700887198985,2503.814955640051,0.23292970639410018,e118ea2c55c8e6985dbf4054de6523371b0f68154232934ef3e57b1aa1f9341e,10.181475199991837
jpn48,xlron_jpn48,300.0,5001,ff_ksp_k50_hops,500,1000,999,1,0.001,0.31119339930592105,270.142,7.119119119119119,2.175175175175175,0.0,24.574574574574573,3.118118118118118,6.15015015015015,878.023023023023,0.23854433012680332,d71a8f436949ef68814c67c784643d1885796ad56c8e992c9e409fb1ac2591ea,16.382886399980634
jpn48,xlron_jpn48,300.0,5001,ksp_ff_k50_hops,500,1000,992,8,0.008,0.02761399920564145,267.046,0.34576612903225806,2.2963709677419355,0.0,28.739919354838708,3.055443548387097,5.19758064516129,772.640120967742,0.3151552975933798,d71a8f436949ef68814c67c784643d1885796ad56c8e992c9e409fb1ac2591ea,15.820667000021785
jpn48,xlron_jpn48,300.0,5001,strict_v13,500,1000,899,101,0.101,3.6395334000117145,91.581,9.195773081201335,0.6229143492769744,0.5561735261401557,50.17463848720801,5.17797552836485,6.57174638487208,973.0956618464961,0.21498667715067318,d71a8f436949ef68814c67c784643d1885796ad56c8e992c9e409fb1ac2591ea,21.264369300042745
jpn48,xlron_jpn48,375.0,5001,ff_ksp_k50_hops,500,1000,968,32,0.032,0.29618690063944086,178.756,6.493801652892562,2.205578512396694,0.0,27.53409090909091,3.075413223140496,5.960743801652892,854.6012396694215,0.19658474108059407,4e8c53dd1f90e5c005f360542d5e58b91fc741b6520d3242249b8315b4c4a961,16.53911650000373
jpn48,xlron_jpn48,375.0,5001,ksp_ff_k50_hops,500,1000,954,46,0.046,0.031519500247668475,180.069,1.3679245283018868,2.330188679245283,0.0,30.334381551362682,3.0157232704402515,5.147798742138365,748.3301886792453,0.2766718751433856,4e8c53dd1f90e5c005f360542d5e58b91fc741b6520d3242249b8315b4c4a961,16.112950499984436
jpn48,xlron_jpn48,375.0,5001,strict_v13,500,1000,866,134,0.134,3.546746599196922,71.563,9.121247113163973,0.8048498845265589,0.5046189376443418,47.6431870669746,4.894919168591224,6.249422632794457,928.8891454965358,0.22860919655103565,4e8c53dd1f90e5c005f360542d5e58b91fc741b6520d3242249b8315b4c4a961,20.637160399986897
jpn48,xlron_jpn48,475.0,5001,ff_ksp_k50_hops,500,1000,896,104,0.104,0.19284379977034405,137.276,6.784598214285714,2.2589285714285716,0.0,28.610491071428573,3.0189732142857144,5.6875,808.7354910714286,0.17946983678009662,4eeffd479fec3414dfaf44a07798ca78fb3aac4b2d0c10d98ee40ea7bf5783cb,13.616128799971193
