topology,seed,strict_total,strict_blocked,strict_blocking_rate,strict_r_no_valid_rate,strict_rescue_attempted,strict_rescue_success,strict_avg_path_km,strict_avg_decision_ms,preferred_heuristic_total,preferred_heuristic_blocked,preferred_heuristic_blocking_rate,preferred_heuristic_r_no_valid_rate,preferred_heuristic_rescue_attempted,preferred_heuristic_rescue_success,preferred_heuristic_avg_path_km,preferred_heuristic_avg_decision_ms,strict_k500_rescue_total,strict_k500_rescue_blocked,strict_k500_rescue_blocking_rate,strict_k500_rescue_r_no_valid_rate,strict_k500_rescue_rescue_attempted,strict_k500_rescue_rescue_success,strict_k500_rescue_avg_path_km,strict_k500_rescue_avg_decision_ms,preferred_heuristic_k500_rescue_total,preferred_heuristic_k500_rescue_blocked,preferred_heuristic_k500_rescue_blocking_rate,preferred_heuristic_k500_rescue_r_no_valid_rate,preferred_heuristic_k500_rescue_rescue_attempted,preferred_heuristic_k500_rescue_rescue_success,preferred_heuristic_k500_rescue_avg_path_km,preferred_heuristic_k500_rescue_avg_decision_ms
xlron_cost239_ptrnet_real,5001,6000,323,0.05383333333333333,0.05383333333333333,0,0,969.1823146027832,27.01822126619906,6000,323,0.05383333333333333,0.05383333333333333,0,0,832.9931301743878,13.11808233401583,6000,323,0.05383333333333333,0.0,323,0,969.1823146027832,28.236944780811125,6000,323,0.05383333333333333,0.0,323,0,832.9931301743878,12.951699396168502
xlron_cost239_ptrnet_real,5002,6000,340,0.056666666666666664,0.056666666666666664,0,0,985.7855123674912,26.819981557908857,6000,340,0.056666666666666664,0.056666666666666664,0,0,833.2650176678445,12.899253695873389,6000,340,0.056666666666666664,0.0,340,0,985.7855123674912,27.93710815709589,6000,340,0.056666666666666664,0.0,340,0,833.2650176678445,12.703618511654591
xlron_cost239_ptrnet_real,5003,6000,316,0.05266666666666667,0.05266666666666667,0,0,968.8919774806475,26.763889671099605,6000,316,0.05266666666666667,0.05266666666666667,0,0,825.0679099225897,12.659688648564043,6000,316,0.05266666666666667,0.0,316,0,968.8919774806475,28.141624232948136,6000,316,0.05266666666666667,0.0,316,0,825.0679099225897,12.719651899319919
xlron_cost239_ptrnet_real,5004,6000,350,0.058333333333333334,0.058333333333333334,0,0,979.0070796460177,26.815886439998092,6000,350,0.058333333333333334,0.058333333333333334,0,0,833.2499115044247,13.249660213516714,6000,350,0.058333333333333334,0.0,350,0,979.0070796460177,28.42661286301639,6000,350,0.058333333333333334,0.0,350,0,833.2499115044247,13.214387435795894
xlron_cost239_ptrnet_real,5005,6000,349,0.058166666666666665,0.058166666666666665,0,0,982.6561670500796,27.91558415745385,6000,349,0.058166666666666665,0.058166666666666665,0,0,830.5453901964254,13.878587731499769,6000,349,0.058166666666666665,0.0,349,0,982.6561670500796,29.190328418529436,6000,349,0.058166666666666665,0.0,349,0,830.5453901964254,13.59128552916809
xlron_nsfnet_deeprmsa,6101,6000,352,0.058666666666666666,0.058666666666666666,0,0,2573.5570113314448,16.35603902642227,6000,352,0.058666666666666666,0.058666666666666666,0,0,2342.873583569405,7.339732008219774,6000,352,0.058666666666666666,0.0,352,0,2573.5570113314448,16.4087420940826,6000,352,0.058666666666666666,0.0,352,0,2342.873583569405,7.286252856070253
xlron_nsfnet_deeprmsa,6102,6000,316,0.05266666666666667,0.05266666666666667,0,0,2531.447923997185,16.042231898628717,6000,313,0.05216666666666667,0.05216666666666667,0,0,2299.1911376824337,6.7180308271199465,6000,316,0.05266666666666667,0.0,316,0,2531.447923997185,15.84600128661259,6000,313,0.05216666666666667,0.0,313,0,2299.1911376824337,6.7771827183411615
xlron_nsfnet_deeprmsa,6103,6000,299,0.049833333333333334,0.049833333333333334,0,0,2533.6607612699527,16.08639933671414,6000,299,0.049833333333333334,0.049833333333333334,0,0,2311.041922469742,6.768015901907347,6000,299,0.049833333333333334,0.0,299,0,2533.6607612699527,15.984606170473853,6000,299,0.049833333333333334,0.0,299,0,2311.041922469742,6.822847178574496
xlron_nsfnet_deeprmsa,6104,6000,314,0.052333333333333336,0.052333333333333336,0,0,2566.065775589166,17.09008120824971,6000,315,0.0525,0.0525,0,0,2333.9313984168866,6.861988128298738,6000,314,0.052333333333333336,0.0,314,0,2566.065775589166,15.877245013291637,6000,315,0.0525,0.0,315,0,2333.9313984168866,6.780430446039342
xlron_nsfnet_deeprmsa,6105,6000,331,0.05516666666666667,0.05516666666666667,0,0,2565.478920444523,17.678376898218023,6000,329,0.05483333333333333,0.05483333333333333,0,0,2334.085699171222,6.859474929001105,6000,331,0.05516666666666667,0.0,331,0,2565.478920444523,16.131702171085635,6000,329,0.05483333333333333,0.0,329,0,2334.085699171222,6.863223175295086
