seed,strict_total,strict_blocked,strict_blocking_rate,strict_overload_rate,strict_nsb_rate,strict_r_no_valid_rate,strict_avg_delay_ms,strict_avg_fs,strict_avg_path_km,strict_avg_decision_ms,ksp_total,ksp_blocked,ksp_blocking_rate,ksp_overload_rate,ksp_nsb_rate,ksp_r_no_valid_rate,ksp_avg_delay_ms,ksp_avg_fs,ksp_avg_path_km,ksp_avg_decision_ms,strict_minus_ksp_blocking_pp
5001,6000,323,0.05383333333333333,0.0,0.0,0.05383333333333333,11.590629121633482,2.079267218601374,969.1823146027832,12.813634742090168,6000,323,0.05383333333333333,0.0,0.0,0.05383333333333333,10.43214224476194,2.054254007398274,832.9931301743878,3.1078024530919115,0.0
5002,6000,340,0.056666666666666664,0.0,0.0,0.056666666666666664,11.724483352411815,2.086219081272085,985.7855123674912,13.040824022954135,6000,340,0.056666666666666664,0.0,0.0,0.056666666666666664,10.44650985417857,2.0558303886925797,833.2650176678445,3.1093255284807433,0.0
5003,6000,316,0.05266666666666667,0.0,0.0,0.05266666666666667,11.705099212850802,2.0728360309641096,968.8919774806475,12.980193596178045,6000,316,0.05266666666666667,0.0,0.0,0.05266666666666667,10.493543970064014,2.0503166783954963,825.0679099225897,3.105632900036047,0.0
5004,6000,350,0.058333333333333334,0.0,0.0,0.058333333333333334,11.796667414550388,2.0838938053097347,979.0070796460177,13.169024988004821,6000,350,0.058333333333333334,0.0,0.0,0.058333333333333334,10.563456795081372,2.0527433628318583,833.2499115044247,3.1119966733992137,0.0
5005,6000,349,0.058166666666666665,0.0,0.0,0.058166666666666665,11.761016281911647,2.0856485577773847,982.6561670500796,13.269558178343383,6000,349,0.058166666666666665,0.0,0.0,0.058166666666666665,10.493295524523594,2.052203149884976,830.5453901964254,3.134354035055973,0.0
5006,6000,357,0.0595,0.0,0.0,0.0595,11.83826685989803,2.0841750841750843,983.043416622364,13.16138045915674,6000,357,0.0595,0.0,0.0,0.0595,10.576313997945185,2.058302321460216,834.0375686691476,3.1413656613367493,0.0
5007,6000,324,0.054,0.0,0.0,0.054,12.011011491378463,2.0910852713178296,985.6705426356589,13.718629093970472,6000,324,0.054,0.0,0.0,0.054,10.742066812026817,2.059548978153629,836.9908386187456,3.193708909116443,0.0
5008,6000,345,0.0575,0.0,0.0,0.0575,11.763551461316796,2.0709106984969052,977.9381078691423,14.047488758610902,6000,345,0.0575,0.0,0.0,0.0575,10.555593901635064,2.045446507515473,834.7020335985853,3.3287532859055013,0.0
5009,6000,363,0.0605,0.0,0.0,0.0605,11.653451764282503,2.0851516764236298,969.655490509136,15.840832385987596,6000,363,0.0605,0.0,0.0,0.0605,10.431635195185432,2.0512684051800605,821.5490509136065,3.1144246535235047,0.0
5010,6000,340,0.056666666666666664,0.0,0.0,0.056666666666666664,11.89478547856522,2.0779151943462897,966.266077738516,13.387550125652828,6000,340,0.056666666666666664,0.0,0.0,0.056666666666666664,10.764949789519305,2.0519434628975266,832.4544169611307,3.130810217068453,0.0
5011,6000,383,0.06383333333333334,0.0,0.0,0.06383333333333334,11.826104451075757,2.086345024034182,981.2102545842977,13.288086994911282,6000,383,0.06383333333333334,0.0,0.0,0.06383333333333334,10.622844703879753,2.0608865942674024,837.0154886950329,3.1111662258663273,0.0
5012,6000,326,0.05433333333333333,0.0,0.0,0.05433333333333333,11.838165916033763,2.0867113147691225,982.0278463165315,13.40087150736023,6000,326,0.05433333333333333,0.0,0.0,0.05433333333333333,10.586142652022506,2.056397603101868,830.9182234755023,3.119879697650807,0.0
