topology,seed,strict_total,strict_blocked,strict_blocking_rate,strict_overload_rate,strict_nsb_rate,strict_r_no_valid_rate,strict_avg_delay_ms,strict_avg_fs,strict_avg_path_km,strict_avg_decision_ms,ksp_ff_total,ksp_ff_blocked,ksp_ff_blocking_rate,ksp_ff_overload_rate,ksp_ff_nsb_rate,ksp_ff_r_no_valid_rate,ksp_ff_avg_delay_ms,ksp_ff_avg_fs,ksp_ff_avg_path_km,ksp_ff_avg_decision_ms,ff_ksp_total,ff_ksp_blocked,ff_ksp_blocking_rate,ff_ksp_overload_rate,ff_ksp_nsb_rate,ff_ksp_r_no_valid_rate,ff_ksp_avg_delay_ms,ff_ksp_avg_fs,ff_ksp_avg_path_km,ff_ksp_avg_decision_ms,strict_minus_main_blocking_pp,strict_minus_aux_blocking_pp
xlron_nsfnet_deeprmsa,6101,6000,352,0.058666666666666666,0.0,0.0,0.058666666666666666,20.741330600456756,2.714058073654391,2577.248583569405,13.515906429519722,6000,352,0.058666666666666666,0.0,0.0,0.058666666666666666,18.90620536593043,2.6657223796033995,2342.873583569405,4.4036908823181875,6000,352,0.058666666666666666,0.0,0.0,0.058666666666666666,19.593616839018264,2.7241501416430594,2448.9465297450424,4.433119239615432,0.0,0.0
xlron_nsfnet_deeprmsa,6102,6000,316,0.05266666666666667,0.0,0.0,0.05266666666666667,20.25434149696354,2.714109781843772,2519.8363828289935,13.8457403977712,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,18.519510204996376,2.6803235449270266,2299.1911376824337,4.456398601575832,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,19.25153060239393,2.7065236504308072,2415.0342887286793,4.49152278737165,0.050000000000000044,0.050000000000000044
xlron_nsfnet_deeprmsa,6103,6000,299,0.049833333333333334,0.0,0.0,0.049833333333333334,20.324942175631058,2.7030345553411683,2535.265742852131,13.841709722027494,6000,299,0.049833333333333334,0.0,0.0,0.049833333333333334,18.537755330605243,2.631292755656902,2311.041922469742,4.458317799852618,6000,299,0.049833333333333334,0.0,0.0,0.049833333333333334,19.29591179438352,2.690931415541133,2427.8372215400805,4.5104478621700155,0.0,0.0
xlron_nsfnet_deeprmsa,6104,6000,315,0.0525,0.0,0.0,0.0525,20.472573449164955,2.756376429199648,2567.493403693931,13.619501693125736,6000,315,0.0525,0.0,0.0,0.0525,18.627858988106315,2.647669305189094,2333.9313984168866,4.418098735943204,6000,315,0.0525,0.0,0.0,0.0525,19.37728730824702,2.6941072999120492,2449.9736147757258,4.432986252921789,0.0,0.0
xlron_nsfnet_deeprmsa,6105,6000,331,0.05516666666666667,0.0,0.0,0.05516666666666667,20.44151769277748,2.715999294408185,2570.6650202857645,13.44474942817275,6000,329,0.05483333333333333,0.0,0.0,0.05483333333333333,18.587328345059117,2.7896314582965966,2334.085699171222,4.356515848533793,6000,329,0.05483333333333333,0.0,0.0,0.05483333333333333,19.38956780899846,2.817139834244401,2460.0423205783814,4.358621125196805,0.033333333333333826,0.033333333333333826
xlron_usnet_gcnrmsa,6101,6000,360,0.06,0.0,0.0,0.06,16.72751094714628,2.4652482269503544,1426.3056737588652,22.592352587205824,6000,359,0.059833333333333336,0.0,0.0,0.059833333333333336,13.589132180020169,2.133132423329197,1070.5052295692253,6.92648938067335,6000,359,0.059833333333333336,0.0,0.0,0.059833333333333336,15.217453399662054,2.1944690657684807,1270.3761744371566,7.02749205409782,0.01666666666666622,0.01666666666666622
xlron_usnet_gcnrmsa,6102,6000,349,0.058166666666666665,0.0,0.0,0.058166666666666665,16.22160525647283,2.385949389488586,1374.967262431428,22.67734809590426,6000,349,0.058166666666666665,0.0,0.0,0.058166666666666665,13.495825748421199,2.0913112723411786,1065.4864625729958,6.988829019343636,6000,349,0.058166666666666665,0.0,0.0,0.058166666666666665,15.19634954951831,2.1767828702884446,1273.6499734560255,7.007326692643498,0.0,0.0
xlron_usnet_gcnrmsa,6103,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,16.0726395725826,2.399155969755583,1360.149815368384,23.213426184452448,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,13.352105020094449,2.0886231756637947,1051.949358185335,7.133708128346673,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,15.006566071615454,2.155090557411641,1254.9358185334975,7.197828632119733,0.0,0.0
xlron_usnet_gcnrmsa,6104,6000,307,0.051166666666666666,0.0,0.0,0.051166666666666666,16.078099782429618,2.3843316353416477,1370.7205339891095,22.353118270102033,6000,307,0.051166666666666666,0.0,0.0,0.051166666666666666,13.296086784010472,2.092218513964518,1055.1399964869138,6.491972933212916,6000,307,0.051166666666666666,0.0,0.0,0.051166666666666666,14.964588452726439,2.1529949060249427,1260.3667662041103,6.474892585412211,0.0,0.0
xlron_usnet_gcnrmsa,6105,6000,304,0.050666666666666665,0.0,0.0,0.050666666666666665,16.47503355550996,2.4011587078651684,1398.3328651685392,22.396511803061003,6000,304,0.050666666666666665,0.0,0.0,0.050666666666666665,13.470623443150414,2.091818820224719,1060.2668539325844,6.453311881584038,6000,304,0.050666666666666665,0.0,0.0,0.050666666666666665,15.17437695438635,2.15063202247191,1268.7141853932585,6.59295274472485,0.0,0.0
