seed,strict_total,strict_blocked,strict_blocking_rate,strict_overload_rate,strict_nsb_rate,strict_r_no_valid_rate,strict_avg_delay_ms,strict_avg_fs,strict_avg_path_km,strict_avg_decision_ms,ksp_total,ksp_blocked,ksp_blocking_rate,ksp_overload_rate,ksp_nsb_rate,ksp_r_no_valid_rate,ksp_avg_delay_ms,ksp_avg_fs,ksp_avg_path_km,ksp_avg_decision_ms,strict_minus_ksp_blocking_pp
5001,6000,2605,0.43416666666666665,0.0,0.0,0.43416666666666665,22.57256868868293,2.3455081001472755,1741.5652430044183,8.548516062502435,6000,2605,0.43416666666666665,0.0,0.0,0.43416666666666665,18.235066479551787,2.1625920471281295,1310.0,3.102543937837557,0.0
5002,6000,2611,0.43516666666666665,0.0,0.0,0.43516666666666665,22.887419537251393,2.3856594865742107,1789.7887282384183,8.6935109816568,6000,2611,0.43516666666666665,0.0,0.0,0.43516666666666665,18.23323836286363,2.178518737090587,1310.0,3.1019404751596085,0.0
5003,6000,2583,0.4305,0.0,0.0,0.4305,22.536324061844105,2.3465027802165643,1729.0693590869184,8.919606326836098,6000,2583,0.4305,0.0,0.0,0.4305,18.25455642941802,2.1791044776119404,1310.0,3.1362934676477985,0.0
5004,6000,2669,0.44483333333333336,0.0,0.0,0.44483333333333336,22.812156881540893,2.3563494446112276,1781.7820474332032,8.76304523400116,6000,2669,0.44483333333333336,0.0,0.0,0.44483333333333336,18.130820946386212,2.1768237766436505,1310.0,3.1286876763315377,0.0
5005,6000,2629,0.43816666666666665,0.0,0.0,0.43816666666666665,22.695782149575592,2.353604271729457,1760.2207060219519,8.725264755847396,6000,2629,0.43816666666666665,0.0,0.0,0.43816666666666665,18.17561899324212,2.1800652625333727,1310.0,3.12206377832293,0.0
5006,6000,2614,0.43566666666666665,0.0,0.0,0.43566666666666665,22.604428008981124,2.3759598346131128,1739.4406379208506,8.819179297653742,6000,2614,0.43566666666666665,0.0,0.0,0.43566666666666665,18.272936573659212,2.1919669226225635,1310.0,3.1295351375083555,0.0
5007,6000,2611,0.43516666666666665,0.0,0.0,0.43516666666666665,22.818237008959173,2.3555621127176156,1759.013278253172,8.887115909495455,6000,2611,0.43516666666666665,0.0,0.0,0.43516666666666665,18.4032089770914,2.170256712894659,1310.0,3.114985846669697,0.0
5008,6000,2652,0.442,0.0,0.0,0.442,22.75430633813904,2.326164874551971,1754.041816009558,8.869520194170946,6000,2652,0.442,0.0,0.0,0.442,18.249151021532157,2.1729390681003586,1310.0,3.1401038343371206,0.0
5009,6000,2686,0.44766666666666666,0.0,0.0,0.44766666666666666,22.81365151088111,2.3672299336149667,1749.3174411587206,8.757529337323225,6000,2686,0.44766666666666666,0.0,0.0,0.44766666666666666,18.382604437857566,2.1997585998793,1310.0,3.144787250817899,0.0
5010,6000,2621,0.43683333333333335,0.0,0.0,0.43683333333333335,22.369579696166948,2.3287955016277007,1741.877478543948,8.851020297484865,6000,2621,0.43683333333333335,0.0,0.0,0.43683333333333335,18.007469604423804,2.1796389464338564,1310.0,3.141986876357199,0.0
5011,6000,2594,0.43233333333333335,0.0,0.0,0.43233333333333335,22.49022764554056,2.352319436288902,1755.8261890780975,9.000001560841156,6000,2594,0.43233333333333335,0.0,0.0,0.43233333333333335,18.053521832269823,2.170581327069877,1310.0,3.1114112495000277,0.0
5012,6000,2627,0.43783333333333335,0.0,0.0,0.43783333333333335,22.866803026925673,2.392232434034984,1761.1206640972428,8.83858140682969,6000,2627,0.43783333333333335,0.0,0.0,0.43783333333333335,18.404558734011317,2.185591461606878,1310.0,3.116258433834749,0.0
5013,6000,2645,0.44083333333333335,0.0,0.0,0.44083333333333335,22.67878957916733,2.3332339791356187,1733.5350223546945,8.857256395345454,6000,2645,0.44083333333333335,0.0,0.0,0.44083333333333335,18.335481084383463,2.1779433681073024,1310.0,3.113517065661957,0.0
5014,6000,2661,0.4435,0.0,0.0,0.4435,22.98232973638455,2.360587002096436,1765.2932015573524,8.844624747012858,6000,2661,0.4435,0.0,0.0,0.4435,18.452793947226045,2.1892782270140763,1310.0,3.1463874230000024,0.0
5015,6000,2636,0.43933333333333335,0.0,0.0,0.43933333333333335,22.705716502777154,2.367419738406659,1761.8359096313911,8.893088532671149,6000,2636,0.43933333333333335,0.0,0.0,0.43933333333333335,18.248855622872366,2.168252080856124,1310.0,3.100715936989521,0.0
5016,6000,2637,0.4395,0.0,0.0,0.4395,23.064533449418906,2.342848647041332,1766.8664882545347,8.997367016165299,6000,2637,0.4395,0.0,0.0,0.4395,18.47838715147068,2.174843889384478,1310.0,3.149470936336911,0.0
5017,6000,2647,0.44116666666666665,0.0,0.0,0.44116666666666665,22.622323023875442,2.329555621831196,1742.727110050701,9.02079026732857,6000,2647,0.44116666666666665,0.0,0.0,0.44116666666666665,18.244849119908768,2.1717864598866687,1310.0,3.1509645226590997,0.0
5018,6000,2672,0.44533333333333336,0.0,0.0,0.44533333333333336,22.596133745401403,2.3179086538461537,1734.5751201923076,8.924617019484382,6000,2672,0.44533333333333336,0.0,0.0,0.44533333333333336,18.268931221362898,2.1688701923076925,1310.0,3.145168214146603,0.0
5019,6000,2645,0.44083333333333335,0.0,0.0,0.44083333333333335,22.820537587111875,2.353800298062593,1773.0634873323397,9.014489860987245,6000,2645,0.44083333333333335,0.0,0.0,0.44083333333333335,18.24054056773784,2.172280178837556,1310.0,3.0398924266610265,0.0
