requests,v1.2,DeepRMSA
100,0.3,0.32
200,0.455,0.47
300,0.41333333333333333,0.44333333333333336
400,0.5075,0.535
500,0.476,0.496
600,0.445,0.47
700,0.4942857142857143,0.5157142857142857
800,0.5375,0.55625
900,0.5144444444444445,0.5311111111111111
1000,0.502,0.517
1100,0.47909090909090907,0.49363636363636365
1200,0.5066666666666667,0.52
1300,0.4876923076923077,0.5015384615384615
1400,0.475,0.4878571428571429
1500,0.472,0.484
1600,0.49375,0.505
1700,0.5017647058823529,0.5123529411764706
1800,0.5072222222222222,0.5194444444444445
1900,0.5078947368421053,0.5194736842105263
2000,0.5105,0.5225
2100,0.5161904761904762,0.5276190476190477
2200,0.5118181818181818,0.525
2300,0.5043478260869565,0.5169565217391304
2400,0.5120833333333333,0.5241666666666667
2500,0.5056,0.5168
2600,0.5003846153846154,0.5115384615384615
2700,0.49037037037037035,0.5018518518518519
2800,0.4925,0.5053571428571428
2900,0.5003448275862069,0.5127586206896552
3000,0.5036666666666667,0.516
3100,0.5029032258064516,0.5135483870967742
3200,0.491875,0.5021875
3300,0.4890909090909091,0.4993939393939394
3400,0.48294117647058826,0.4929411764705882
3500,0.49314285714285716,0.5028571428571429
3600,0.5033333333333333,0.5127777777777778
3700,0.5072972972972973,0.5164864864864865
3800,0.49526315789473685,0.5076315789473684
3900,0.49948717948717947,0.5117948717948718
4000,0.5075,0.5195
4100,0.5041463414634146,0.5158536585365854
4200,0.503095238095238,0.5152380952380953
4300,0.5109302325581395,0.5227906976744187
4400,0.5179545454545454,0.5295454545454545
4500,0.5215555555555556,0.5328888888888889
4600,0.518695652173913,0.5295652173913044
4700,0.524468085106383,0.5351063829787234
4800,0.52125,0.5329166666666667
4900,0.5153061224489796,0.5269387755102041
5000,0.5148,0.5262
5100,0.5127450980392156,0.5247058823529411
5200,0.5140384615384616,0.5257692307692308
5300,0.5094339622641509,0.5213207547169811
5400,0.5116666666666667,0.5233333333333333
5500,0.5112727272727273,0.5227272727272727
5600,0.51625,0.5275
5700,0.5187719298245614,0.5298245614035088
5800,0.5217241379310344,0.5327586206896552
5900,0.5276271186440677,0.5384745762711864
6000,0.5328333333333334,0.5435
6100,0.5314754098360656,0.5421311475409836
6200,0.5366129032258065,0.5470967741935484
6300,0.5415873015873016,0.5519047619047619
6400,0.5465625,0.55671875
6500,0.5426153846153846,0.5527692307692308
6600,0.5440909090909091,0.5540909090909091
6700,0.5453731343283582,0.5553731343283582
6800,0.5494117647058824,0.5592647058823529
6900,0.551304347826087,0.5610144927536231
7000,0.5461428571428572,0.556
7100,0.5419718309859155,0.5530985915492957
7200,0.5370833333333334,0.5480555555555555
7300,0.5397260273972603,0.5505479452054794
7400,0.5437837837837838,0.5544594594594595
7500,0.5450666666666667,0.5556
7600,0.5434210526315789,0.5539473684210526
7700,0.5405194805194805,0.5509090909090909
7800,0.5391025641025641,0.5492307692307692
7900,0.5388607594936708,0.5489873417721519
8000,0.53925,0.549375
