requests,v1.2,DeepRMSA
100,0.0,0.0
200,0.0,0.0
300,0.0,0.0
400,0.0025,0.0075
500,0.002,0.006
600,0.0016666666666666668,0.005
700,0.004285714285714286,0.007142857142857143
800,0.0075,0.01
900,0.006666666666666667,0.008888888888888889
1000,0.006,0.008
1100,0.005454545454545455,0.007272727272727273
1200,0.005,0.006666666666666667
1300,0.004615384615384616,0.006153846153846154
1400,0.004285714285714286,0.005714285714285714
1500,0.004,0.005333333333333333
1600,0.00375,0.005625
1700,0.0035294117647058825,0.005294117647058823
1800,0.0033333333333333335,0.005
1900,0.004210526315789474,0.005789473684210527
2000,0.004,0.0055
2100,0.004761904761904762,0.006666666666666667
2200,0.004545454545454545,0.006363636363636364
2300,0.004347826086956522,0.00608695652173913
2400,0.00625,0.007916666666666667
2500,0.006,0.0076
2600,0.0057692307692307696,0.007307692307692308
2700,0.005555555555555556,0.007037037037037037
2800,0.005357142857142857,0.0067857142857142855
2900,0.005172413793103448,0.006896551724137931
3000,0.006,0.008
3100,0.005806451612903226,0.007741935483870968
3200,0.005625,0.0075
3300,0.005454545454545455,0.007272727272727273
3400,0.005294117647058823,0.007058823529411765
3500,0.006,0.007714285714285714
3600,0.006388888888888889,0.008333333333333333
3700,0.007027027027027027,0.009189189189189189
3800,0.006842105263157895,0.008947368421052631
3900,0.006923076923076923,0.008974358974358974
4000,0.00675,0.00875
4100,0.006585365853658536,0.00853658536585366
4200,0.0064285714285714285,0.008333333333333333
4300,0.006744186046511628,0.008837209302325582
4400,0.007272727272727273,0.009318181818181817
4500,0.009111111111111111,0.011111111111111112
4600,0.008913043478260869,0.010869565217391304
4700,0.008936170212765958,0.011063829787234043
4800,0.009166666666666667,0.011458333333333333
4900,0.008979591836734694,0.011224489795918367
5000,0.0088,0.011
5100,0.008627450980392156,0.010784313725490196
5200,0.008461538461538461,0.010576923076923078
5300,0.00830188679245283,0.010377358490566037
5400,0.008148148148148147,0.010185185185185186
5500,0.008,0.010363636363636363
5600,0.008392857142857143,0.010892857142857143
5700,0.008421052631578947,0.01087719298245614
5800,0.008275862068965517,0.010689655172413793
5900,0.008983050847457628,0.01152542372881356
6000,0.008833333333333334,0.011666666666666667
6100,0.008688524590163935,0.011475409836065573
6200,0.008870967741935484,0.011774193548387097
6300,0.009682539682539683,0.01253968253968254
6400,0.00984375,0.0128125
6500,0.009692307692307693,0.012615384615384615
6600,0.009545454545454546,0.012424242424242424
6700,0.009402985074626866,0.012238805970149255
6800,0.009705882352941177,0.0125
6900,0.009855072463768115,0.013043478260869565
7000,0.009714285714285713,0.012857142857142857
7100,0.009577464788732394,0.01267605633802817
7200,0.009444444444444445,0.0125
7300,0.009315068493150684,0.012328767123287671
7400,0.00945945945945946,0.012702702702702703
7500,0.009333333333333334,0.0128
7600,0.009210526315789473,0.01263157894736842
7700,0.00909090909090909,0.012467532467532468
7800,0.008974358974358974,0.012307692307692308
7900,0.009367088607594937,0.013037974683544304
8000,0.00925,0.012875
