topology,seed,arm,k_paths,blocked,blocking,selector_mean_ms,selector_p50_ms,selector_p95_ms,selector_p99_ms,end_to_end_ms,route_init_s,selector_init_s,env_init_s,ksp_ff_backend,shadow_row_backend,legal_start_backend
xlron_nsfnet_deeprmsa,23001,ksp_ff_k5,5,743,0.0743,0.010578138002363796,0.008265022188425064,0.017854035831987858,0.045105910394340774,0.020296258724887262,0.02302184095606208,0.002973946975544095,0.03416890499647707,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23001,ksp_ff_k50,50,753,0.0753,0.015674870291894134,0.008687027730047703,0.06805094308219849,0.08879943052306771,0.02554071941201321,0.3436340260086581,0.024107948993332684,0.03216275305021554,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23001,ksp_bf_k50,50,734,0.0734,0.027116362301802095,0.004539033398032188,0.254634564043954,0.3261456941254438,0.037227659189904276,0.34574533498380333,1.393025740981102e-06,0.0299201849848032,,,
xlron_nsfnet_deeprmsa,23001,full_direct,50,580,0.058,0.3581609853056514,0.33954501850530505,0.6234214350115508,0.9465505392290655,0.3751500257269733,0.3254296350060031,0.14973504492081702,0.030814127065241337,,python,python
xlron_nsfnet_deeprmsa,23001,opp_only,50,599,0.0599,0.13650063106747853,0.11931650806218386,0.22102997172623873,0.33233996131457405,0.15043511673469434,0.3388382700504735,0.12498930504079908,0.030914352042600513,,,python
xlron_nsfnet_deeprmsa,23002,ksp_ff_k5,5,908,0.0908,0.010175047209486365,0.008205999620258808,0.01541085075587033,0.04123233025893579,0.019257482384670187,0.02091239800211042,0.0022763930028304458,0.029900107998400927,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23002,ksp_ff_k50,50,868,0.0868,0.01651010424195027,0.008736969903111458,0.06918101571500301,0.09340019547380514,0.026275364629162305,0.34771798201836646,0.022765606991015375,0.03171936911530793,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23002,ksp_bf_k50,50,836,0.0836,0.029349837346341123,0.004568952135741711,0.2560975612141192,0.30394366593100147,0.03940384727056054,0.334878241061233,1.251930370926857e-06,0.029147719964385033,,,
xlron_nsfnet_deeprmsa,23002,full_direct,50,677,0.0677,0.3494103124619207,0.33862300915643573,0.6001470261253415,0.8728480606805535,0.3660726605448872,0.33476009289734066,0.1513686269754544,0.031174793955869973,,python,python
xlron_nsfnet_deeprmsa,23002,opp_only,50,728,0.0728,0.14308849034238266,0.12250302825123072,0.24349695886485273,0.43149590957909884,0.15763464937282895,0.3496820139698684,0.08583404798991978,0.029422531952150166,,,python
xlron_nsfnet_deeprmsa,23003,ksp_ff_k5,5,834,0.0834,0.010175401545976374,0.00819494016468525,0.01577307702973481,0.04016636405140162,0.01951418056110428,0.024282868020236492,0.0033304739044979215,0.029982305015437305,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23003,ksp_ff_k50,50,846,0.0846,0.01733438627244058,0.009097042493522167,0.06996443262323734,0.10432384326122714,0.027490601144646378,0.33909388701431453,0.02473933598957956,0.031179582932963967,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23003,ksp_bf_k50,50,791,0.0791,0.029115737034854563,0.00459898728877306,0.25685845757834613,0.3179376642219727,0.039338162232359704,0.34445033804513514,2.054031938314438e-06,0.03137834498193115,,,
xlron_nsfnet_deeprmsa,23003,full_direct,50,674,0.0674,0.3487678396896544,0.3349409671500325,0.584390462609008,0.843605333939195,0.36511271400377154,0.33363618794828653,0.1614339459920302,0.0318747169803828,,python,python
xlron_nsfnet_deeprmsa,23003,opp_only,50,685,0.0685,0.14432789644607427,0.1245014718733728,0.24818899109959588,0.4215020872652531,0.1589210498866371,0.3485633599339053,0.08990206499584019,0.030539904022589326,,,python
xlron_nsfnet_deeprmsa,23004,ksp_ff_k5,5,824,0.0824,0.010713470919819718,0.008276081643998623,0.018325552809983485,0.04687042557634417,0.02030865892513909,0.021698695025406778,0.0022895870497450233,0.030081645003519952,python_bitparallel_early_exit,,
