topology,seed,strict_total,strict_blocked,strict_blocking_rate,strict_overload_rate,strict_nsb_rate,strict_r_no_valid_rate,strict_avg_delay_ms,strict_avg_fs,strict_avg_path_km,strict_avg_decision_ms,ksp_ff_total,ksp_ff_blocked,ksp_ff_blocking_rate,ksp_ff_overload_rate,ksp_ff_nsb_rate,ksp_ff_r_no_valid_rate,ksp_ff_avg_delay_ms,ksp_ff_avg_fs,ksp_ff_avg_path_km,ksp_ff_avg_decision_ms,ff_ksp_total,ff_ksp_blocked,ff_ksp_blocking_rate,ff_ksp_overload_rate,ff_ksp_nsb_rate,ff_ksp_r_no_valid_rate,ff_ksp_avg_delay_ms,ff_ksp_avg_fs,ff_ksp_avg_path_km,ff_ksp_avg_decision_ms,strict_minus_main_blocking_pp,strict_minus_aux_blocking_pp
xlron_nsfnet_deeprmsa,6101,6000,352,0.058666666666666666,0.0,0.0,0.058666666666666666,20.726413815754203,2.714058073654391,2573.5570113314448,33.858232115967745,6000,352,0.058666666666666666,0.0,0.0,0.058666666666666666,18.90620536593043,2.6657223796033995,2342.873583569405,8.243223816748165,6000,352,0.058666666666666666,0.0,0.0,0.058666666666666666,19.593616839018264,2.7241501416430594,2448.9465297450424,6.942855366961642,0.0,0.0
xlron_nsfnet_deeprmsa,6102,6000,316,0.05266666666666667,0.0,0.0,0.05266666666666667,20.32259728858257,2.7375087966220972,2531.447923997185,34.08866426668828,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,18.519510204996376,2.6803235449270266,2299.1911376824337,8.590861766249873,6000,315,0.0525,0.0,0.0,0.0525,19.216463558651913,2.6715919085312225,2409.8416886543537,6.744242683247042,0.050000000000000044,0.016666666666666913
xlron_nsfnet_deeprmsa,6103,6000,299,0.049833333333333334,0.0,0.0,0.049833333333333334,20.305515759212888,2.712155762146992,2533.6607612699527,34.43141249973754,6000,299,0.049833333333333334,0.0,0.0,0.049833333333333334,18.537755330605243,2.631292755656902,2311.041922469742,9.047196416902201,6000,299,0.049833333333333334,0.0,0.0,0.049833333333333334,19.29591179438352,2.690931415541133,2427.8372215400805,6.887283299777967,0.0,0.0
xlron_nsfnet_deeprmsa,6104,6000,314,0.052333333333333336,0.0,0.0,0.052333333333333336,20.456767382943355,2.7328526204713333,2566.065775589166,34.38256645055177,6000,315,0.0525,0.0,0.0,0.0525,18.627858988106315,2.647669305189094,2333.9313984168866,8.312065199832432,6000,315,0.0525,0.0,0.0,0.0525,19.380057756795832,2.6939313984168867,2450.527704485488,6.840125733530537,-0.01666666666666622,-0.01666666666666622
xlron_nsfnet_deeprmsa,6105,6000,331,0.05516666666666667,0.0,0.0,0.05516666666666667,20.398829387961815,2.7346974775092607,2565.478920444523,33.89720871700168,6000,329,0.05483333333333333,0.0,0.0,0.05483333333333333,18.587328345059117,2.7896314582965966,2334.085699171222,8.69131106690232,6000,329,0.05483333333333333,0.0,0.0,0.05483333333333333,19.38956780899846,2.817139834244401,2460.0423205783814,6.8162842498762375,0.033333333333333826,0.033333333333333826
xlron_usnet_gcnrmsa,6101,6000,359,0.059833333333333336,0.0,0.0,0.059833333333333336,17.321803692163392,2.53979790817231,1490.6435029250133,45.004503983034134,6000,359,0.059833333333333336,0.0,0.0,0.059833333333333336,13.589132180020169,2.133132423329197,1070.5052295692253,15.354176916521586,6000,359,0.059833333333333336,0.0,0.0,0.059833333333333336,15.217453399662054,2.1944690657684807,1270.3761744371566,12.612935849960195,0.0,0.0
xlron_usnet_gcnrmsa,6102,6000,349,0.058166666666666665,0.0,0.0,0.058166666666666665,16.241998107295736,2.3873650681295344,1377.2408423287914,45.29374249996423,6000,349,0.058166666666666665,0.0,0.0,0.058166666666666665,13.495825748421199,2.0913112723411786,1065.4864625729958,15.788048000365961,6000,349,0.058166666666666665,0.0,0.0,0.058166666666666665,15.19634954951831,2.1767828702884446,1273.6499734560255,12.959206749985848,0.0,0.0
xlron_usnet_gcnrmsa,6103,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,16.02775474754301,2.3924740636539474,1356.0611921927202,45.32484636712858,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,13.352105020094449,2.0886231756637947,1051.949358185335,15.801416033471469,6000,313,0.05216666666666667,0.0,0.0,0.05216666666666667,15.006566071615454,2.155090557411641,1254.9358185334975,13.137891333579319,0.0,0.0
xlron_usnet_gcnrmsa,6104,6000,307,0.051166666666666666,0.0,0.0,0.051166666666666666,16.536027061544296,2.428069559107676,1420.8515721060953,56.81809255032567,6000,307,0.051166666666666666,0.0,0.0,0.051166666666666666,13.296086784010472,2.092218513964518,1055.1399964869138,10.383452950394712,6000,307,0.051166666666666666,0.0,0.0,0.051166666666666666,14.964588452726439,2.1529949060249427,1260.3667662041103,13.631798416851476,0.0,0.0
xlron_usnet_gcnrmsa,6105,6000,304,0.050666666666666665,0.0,0.0,0.050666666666666665,16.119162768993135,2.3637640449438204,1360.0941011235955,56.789052382703325,6000,304,0.050666666666666665,0.0,0.0,0.050666666666666665,13.470623443150414,2.091818820224719,1060.2668539325844,10.380932166920198,6000,304,0.050666666666666665,0.0,0.0,0.050666666666666665,15.17437695438635,2.15063202247191,1268.7141853932585,13.30066431714416,0.0,0.0
